cluster,hv_centroid,n_items_modal,basket_weight_pct
1,1.7318510349429395,44,33.22092099163134
2,2.7005713509669267,76,20.992076523169054
3,3.7800114328576346,44,12.711594615361973
4,5.333528487167363,34,8.013434374626135
5,6.867402887730045,33,4.398523900590358
6,8.67394625933606,14,4.398343580662507
7,10.797835201989276,15,3.3165181733926685
8,13.190299303375815,12,4.453364898653998
9,15.718544195496182,7,2.7972085611165514
10,18.907042993914516,9,1.2387199645119746
11,24.156278543154375,2,1.0912881234847331
12,30.898427309205502,2,0.6970301211879381
13,39.348582825993375,2,1.0627955348817786
14,46.5630492947314,3,0.6538710184515883
15,61.132711822060514,2,0.95430961827614
