,headline_inflation
2015-01-01,5.117416034033588
2015-02-01,5.341258480496606
2015-03-01,5.154795968081612
2015-04-01,4.85052477079009
2015-05-01,5.050049262980298
2015-06-01,5.430090986963603
2015-07-01,4.006890730243706
2015-08-01,3.9935868215652714
2015-09-01,4.468486945605218
2015-10-01,5.070440816823674
2015-11-01,5.516367433453027
2015-12-01,5.611700263319902
2016-01-01,5.659413699234521
2016-02-01,5.196426078429569
2016-03-01,4.9336904805238015
2016-04-01,5.507967240813102
2016-05-01,5.77088952164419
2016-06-01,5.793115114753954
2016-07-01,6.139574880170044
2016-08-01,5.749912400035035
2016-09-01,5.4792767852892865
2016-10-01,5.135211557915375
2016-11-01,4.528301668679336
2016-12-01,4.001546288381485
2017-01-01,3.6757286807085294
2017-02-01,3.974476335209465
2017-03-01,4.118887819444872
2017-04-01,3.3837529554988155
2017-05-01,2.644895977041608
2017-06-01,2.06396522441391
2017-07-01,2.572236128105548
2017-08-01,3.701357469457014
2017-09-01,3.6843608142556707
2017-10-01,3.9336359765456077
2017-11-01,5.309649753140095
2017-12-01,5.653533621586554
2018-01-01,5.464102606358959
2018-02-01,4.675135134945949
2018-03-01,4.408725879509644
2018-04-01,4.618440514623792
2018-05-01,4.995342033863184
2018-06-01,5.154530207187915
2018-07-01,4.9165942753622875
2018-08-01,4.2782977476809
2018-09-01,4.159678466128609
2018-10-01,3.9603792088483187
2018-11-01,3.1867543932982443
2018-12-01,2.8470224271910296
2019-01-01,2.6339713224114716
2019-02-01,3.0185023615990545
2019-03-01,3.1172811180875533
2019-04-01,3.01637892544843
2019-05-01,3.1803344518662175
2019-06-01,3.1770197621920957
2019-07-01,3.1208005286797897
2019-08-01,3.295014871994049
2019-09-01,3.9502510528995796
2019-10-01,4.714073332370665
2019-11-01,5.56455123317951
2019-12-01,7.61823332270667
2020-01-01,7.996442240423103
2020-02-01,7.039829083068363
2020-03-01,7.039829083068363
2020-04-01,7.039829083068363
2020-05-01,7.039829083068363
2020-06-01,6.663651294539483
2020-07-01,7.085228516908592
2020-08-01,7.12527440489024
2020-09-01,7.802115676153729
2020-10-01,7.810633007746797
2020-11-01,7.337657727936903
2020-12-01,5.914402167239137
2021-01-01,4.972244321102274
2021-02-01,5.3390481963807215
2021-03-01,5.3390481963807215
2021-04-01,5.3390481963807215
2021-05-01,5.3390481963807215
2021-06-01,5.3390481963807215
2021-07-01,6.286451486419408
2021-08-01,5.987813856874456
2021-09-01,5.321564343374257
2021-10-01,5.6941734933306005
2021-11-01,6.065930047627983
2021-12-01,6.262078256168697
2022-01-01,6.427499594000161
2022-02-01,6.539136341345463
2022-03-01,7.165058083976769
2022-04-01,8.027039156184333
2022-05-01,7.415003217998713
2022-06-01,7.336642960342813
2022-07-01,6.822439801024078
2022-08-01,7.18743244002702
2022-09-01,7.769501539199384
2022-10-01,7.0699113130354805
2022-11-01,6.376887969244815
2022-12-01,6.229343805262472
2023-01-01,6.555782415687031
2023-02-01,6.42449281420287
2023-03-01,5.862679995928003
2023-04-01,4.8264428564228545
2023-05-01,4.690268707892518
2023-06-01,5.360282370887046
2023-07-01,7.572752010899195
2023-08-01,7.046092471563008
2023-09-01,5.29109093356362
2023-10-01,5.220017235993107
2023-11-01,5.694166932333223
2023-12-01,6.050074955970016
2024-01-01,5.677890775843681
2024-02-01,5.639179633328141
2024-03-01,5.351757550296971
2024-04-01,5.3852651808939225
2024-05-01,5.239516089193565
2024-06-01,5.332634695946122
2024-07-01,4.486634026346386
2024-08-01,4.394680847127659
2024-09-01,5.590334964866017
2024-10-01,6.501603021358794
2024-11-01,5.742999565800173
2024-12-01,5.574228114308754
2025-01-01,4.6646977471209
2025-02-01,4.0530420687831725
2025-03-01,3.701326182469525
2025-04-01,3.408664847534061
2025-05-01,3.2400138029944787
2025-06-01,2.7315010803995667
2025-07-01,2.5296434871426063
2025-08-01,2.823293514682593
2025-09-01,2.307426766029294
2025-10-01,1.3868965572413763
2025-11-01,1.60426820029272
2025-12-01,1.9757356967057216
