item_code,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,modal_cluster,modal_prob
1.1.01.1.1.01.P,0.0,0.0,0.0,0.0,0.0,0.056,0.604,0.332,0.008,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.604
1.1.01.1.1.02.X,0.0,0.006,0.65,0.334,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.65
1.1.01.1.1.03.0,0.0,0.218,0.756,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.756
1.1.01.1.1.05.0,0.0,0.266,0.71,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.71
1.1.01.1.1.06.0,0.0,0.578,0.418,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.578
1.1.01.1.1.07.P,0.0,0.0,0.0,0.0,0.0,0.104,0.638,0.252,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.638
1.1.01.1.1.08.X,0.0,0.0,0.046,0.63,0.31,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.63
1.1.01.1.1.09.0,0.0,0.0,0.356,0.616,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.616
1.1.01.1.1.10.0,0.006,0.726,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.726
1.1.01.1.1.11.X,0.176,0.814,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.814
1.1.01.1.1.12.0,0.174,0.816,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.816
1.1.01.1.1.13.X,0.014,0.964,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.964
1.1.01.1.1.15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17,0.718,0.11,0.0,0.0,0.0,0.0,0.0,cluster_9,0.718
1.1.01.1.1.16.0,0.0,0.0,0.0,0.0,0.0,0.148,0.624,0.222,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.624
1.1.01.2.1.01.X,0.0,0.0,0.006,0.406,0.542,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.542
1.1.01.2.1.02.X,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
1.1.01.2.1.03.X,0.0,0.0,0.048,0.634,0.304,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.634
1.1.01.2.1.05.X,0.0,0.0,0.006,0.434,0.516,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.516
1.1.01.2.1.06.X,0.0,0.0,0.006,0.388,0.558,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.558
1.1.01.3.2.01.0,0.006,0.718,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.718
1.1.02.1.1.01.0,0.0,0.0,0.27,0.692,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.692
1.1.02.1.1.02.X,0.006,0.808,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.808
1.1.02.1.1.03.0,0.0,0.084,0.868,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.868
1.1.02.1.1.04.0,0.0,0.0,0.0,0.02,0.49,0.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.49
1.1.02.1.1.05.0,0.0,0.0,0.0,0.02,0.506,0.44,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.506
1.1.02.2.1.01.X,0.006,0.81,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.81
1.1.03.1.1.01.0,0.0,0.0,0.2,0.748,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.748
1.1.04.1.1.01.X,0.43,0.566,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.566
1.1.04.2.1.01.0,0.0,0.346,0.642,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.642
1.1.04.2.1.02.X,0.286,0.708,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.708
1.1.04.2.1.03.0,0.372,0.624,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.624
1.1.04.2.1.04.0,0.018,0.96,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.96
1.1.05.1.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.54,0.376,0.02,0.0,0.0,0.0,0.0,0.0,cluster_8,0.54
1.1.05.1.1.02.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
1.1.05.1.1.03.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.894,0.0,0.0,0.0,cluster_12,0.894
1.1.05.1.1.04.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.63,0.284,0.006,0.0,0.0,0.0,0.0,0.0,cluster_8,0.63
1.1.05.2.1.01.0,0.0,0.0,0.288,0.674,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.674
