All India Item Combined Index (Base 2012=100)
Year,Month,Item-Code,Description,Combined Index,Status,
2014,January,1.1.01.1.1.01.P,rice_PDS,90.5,F,
2014,February,1.1.01.1.1.01.P,rice_PDS,90.5,F,
2014,March,1.1.01.1.1.01.P,rice_PDS,90.5,F,
2014,April,1.1.01.1.1.01.P,rice_PDS,90.4,F,
2014,May,1.1.01.1.1.01.P,rice_PDS,90.4,F,
2014,June,1.1.01.1.1.01.P,rice_PDS,90.4,F,
2014,July,1.1.01.1.1.01.P,rice_PDS,90.4,F,
2014,August,1.1.01.1.1.01.P,rice_PDS,81.7,F,
2014,September,1.1.01.1.1.01.P,rice_PDS,81.8,F,
2014,October,1.1.01.1.1.01.P,rice_PDS,81.8,F,
2014,November,1.1.01.1.1.01.P,rice_PDS,81.8,F,
2014,December,1.1.01.1.1.01.P,rice_PDS,81.9,F,
2015,January,1.1.01.1.1.01.P,rice_PDS,89.0,F,
2015,February,1.1.01.1.1.01.P,rice_PDS,86.5,F,
2015,March,1.1.01.1.1.01.P,rice_PDS,86.5,F,
2015,April,1.1.01.1.1.01.P,rice_PDS,86.2,F,
2015,May,1.1.01.1.1.01.P,rice_PDS,86.2,F,
2015,June,1.1.01.1.1.01.P,rice_PDS,95.4,F,
2015,July,1.1.01.1.1.01.P,rice_PDS,95.7,F,
2015,August,1.1.01.1.1.01.P,rice_PDS,95.7,F,
2015,September,1.1.01.1.1.01.P,rice_PDS,95.8,F,
2015,October,1.1.01.1.1.01.P,rice_PDS,91.1,F,
2015,November,1.1.01.1.1.01.P,rice_PDS,91.3,F,
2015,December,1.1.01.1.1.01.P,rice_PDS,91.3,F,
2016,January,1.1.01.1.1.01.P,rice_PDS,86.0,F,
2016,February,1.1.01.1.1.01.P,rice_PDS,85.6,F,
2016,March,1.1.01.1.1.01.P,rice_PDS,83.9,F,
2016,April,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2016,May,1.1.01.1.1.01.P,rice_PDS,78.1,F,
2016,June,1.1.01.1.1.01.P,rice_PDS,77.9,F,
2016,July,1.1.01.1.1.01.P,rice_PDS,77.9,F,
2016,August,1.1.01.1.1.01.P,rice_PDS,79.8,F,
2016,September,1.1.01.1.1.01.P,rice_PDS,79.6,F,
2016,October,1.1.01.1.1.01.P,rice_PDS,79.7,F,
2016,November,1.1.01.1.1.01.P,rice_PDS,79.7,F,
2016,December,1.1.01.1.1.01.P,rice_PDS,83.0,F,
2017,January,1.1.01.1.1.01.P,rice_PDS,82.8,F,
2017,February,1.1.01.1.1.01.P,rice_PDS,83.1,F,
2017,March,1.1.01.1.1.01.P,rice_PDS,83.4,F,
2017,April,1.1.01.1.1.01.P,rice_PDS,83.4,F,
2017,May,1.1.01.1.1.01.P,rice_PDS,83.4,F,
2017,June,1.1.01.1.1.01.P,rice_PDS,83.4,F,
2017,July,1.1.01.1.1.01.P,rice_PDS,83.4,F,
2017,August,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2017,September,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2017,October,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2017,November,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2017,December,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2018,January,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2018,February,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2018,March,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2018,April,1.1.01.1.1.01.P,rice_PDS,83.8,F,
2018,May,1.1.01.1.1.01.P,rice_PDS,84.2,F,
2018,June,1.1.01.1.1.01.P,rice_PDS,88.3,F,
2018,July,1.1.01.1.1.01.P,rice_PDS,84.2,F,
2018,August,1.1.01.1.1.01.P,rice_PDS,84.2,F,
2018,September,1.1.01.1.1.01.P,rice_PDS,84.2,F,
2018,October,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2018,November,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2018,December,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2019,January,1.1.01.1.1.01.P,rice_PDS,85.4,F,
2019,February,1.1.01.1.1.01.P,rice_PDS,85.4,F,
2019,March,1.1.01.1.1.01.P,rice_PDS,85.4,F,
2019,April,1.1.01.1.1.01.P,rice_PDS,85.4,F,
2019,May,1.1.01.1.1.01.P,rice_PDS,85.6,F,
2019,June,1.1.01.1.1.01.P,rice_PDS,82.2,F,
2019,July,1.1.01.1.1.01.P,rice_PDS,82.2,F,
2019,August,1.1.01.1.1.01.P,rice_PDS,82.2,F,
2019,September,1.1.01.1.1.01.P,rice_PDS,77.3,F,
2019,October,1.1.01.1.1.01.P,rice_PDS,77.0,F,
2019,November,1.1.01.1.1.01.P,rice_PDS,77.0,F,
2019,December,1.1.01.1.1.01.P,rice_PDS,77.0,F,
2020,January,1.1.01.1.1.01.P,rice_PDS,77.0,F,
2020,February,1.1.01.1.1.01.P,rice_PDS,77.0,F,
2020,June,1.1.01.1.1.01.P,rice_PDS,84.2,F,
2020,July,1.1.01.1.1.01.P,rice_PDS,84.4,F,
2020,August,1.1.01.1.1.01.P,rice_PDS,81.7,F,
2020,September,1.1.01.1.1.01.P,rice_PDS,85.0,F,
2020,October,1.1.01.1.1.01.P,rice_PDS,84.0,F,
2020,November,1.1.01.1.1.01.P,rice_PDS,83.0,F,
2020,December,1.1.01.1.1.01.P,rice_PDS,84.3,F,
2021,January,1.1.01.1.1.01.P,rice_PDS,84.3,F,
2021,February,1.1.01.1.1.01.P,rice_PDS,84.3,F,
2021,March,1.1.01.1.1.01.P,rice_PDS,84.3,F,
2021,April,1.1.01.1.1.01.P,rice_PDS,84.3,F,
2021,May,1.1.01.1.1.01.P,rice_PDS,81.2,F,
2021,June,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,July,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,August,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,September,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,October,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,November,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2021,December,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,January,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,February,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,March,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,April,1.1.01.1.1.01.P,rice_PDS,83.9,F,
2022,May,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,June,1.1.01.1.1.01.P,rice_PDS,82.0,F,
2022,July,1.1.01.1.1.01.P,rice_PDS,82.0,F,
2022,August,1.1.01.1.1.01.P,rice_PDS,82.0,F,
2022,September,1.1.01.1.1.01.P,rice_PDS,82.0,F,
2022,October,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,November,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2022,December,1.1.01.1.1.01.P,rice_PDS,81.5,F,
2023,January,1.1.01.1.1.01.P,rice_PDS,63.9,F,
2023,February,1.1.01.1.1.01.P,rice_PDS,63.9,F,
2023,March,1.1.01.1.1.01.P,rice_PDS,63.9,F,
2023,April,1.1.01.1.1.01.P,rice_PDS,63.9,F,
2023,May,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,June,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,July,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,August,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,September,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,October,1.1.01.1.1.01.P,rice_PDS,63.6,F,
2023,November,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2023,December,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,January,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,February,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,March,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,April,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,May,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,June,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,July,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,August,1.1.01.1.1.01.P,rice_PDS,64.0,F,
2024,September,1.1.01.1.1.01.P,rice_PDS,77.7,F,
2024,October,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2024,November,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2024,December,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,January,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,February,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,March,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,April,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,May,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,June,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,July,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,August,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,September,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,October,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,November,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2025,December,1.1.01.1.1.01.P,rice_PDS,81.3,F,
2014,January,1.1.01.1.1.02.X,rice_other sources,123.7,F,
2014,February,1.1.01.1.1.02.X,rice_other sources,124.1,F,
2014,March,1.1.01.1.1.02.X,rice_other sources,124.6,F,
2014,April,1.1.01.1.1.02.X,rice_other sources,125.3,F,
2014,May,1.1.01.1.1.02.X,rice_other sources,126.0,F,
2014,June,1.1.01.1.1.02.X,rice_other sources,126.8,F,
2014,July,1.1.01.1.1.02.X,rice_other sources,128.2,F,
2014,August,1.1.01.1.1.02.X,rice_other sources,129.3,F,
2014,September,1.1.01.1.1.02.X,rice_other sources,129.3,F,
2014,October,1.1.01.1.1.02.X,rice_other sources,129.5,F,
2014,November,1.1.01.1.1.02.X,rice_other sources,129.4,F,
2014,December,1.1.01.1.1.02.X,rice_other sources,128.5,F,
2015,January,1.1.01.1.1.02.X,rice_other sources,127.9,F,
2015,February,1.1.01.1.1.02.X,rice_other sources,128.1,F,
2015,March,1.1.01.1.1.02.X,rice_other sources,127.8,F,
2015,April,1.1.01.1.1.02.X,rice_other sources,127.6,F,
2015,May,1.1.01.1.1.02.X,rice_other sources,127.8,F,
2015,June,1.1.01.1.1.02.X,rice_other sources,127.8,F,
2015,July,1.1.01.1.1.02.X,rice_other sources,127.4,F,
2015,August,1.1.01.1.1.02.X,rice_other sources,127.8,F,
2015,September,1.1.01.1.1.02.X,rice_other sources,127.9,F,
2015,October,1.1.01.1.1.02.X,rice_other sources,128.7,F,
2015,November,1.1.01.1.1.02.X,rice_other sources,129.0,F,
2015,December,1.1.01.1.1.02.X,rice_other sources,129.0,F,
2016,January,1.1.01.1.1.02.X,rice_other sources,129.7,F,
2016,February,1.1.01.1.1.02.X,rice_other sources,129.7,F,
2016,March,1.1.01.1.1.02.X,rice_other sources,129.8,F,
2016,April,1.1.01.1.1.02.X,rice_other sources,130.3,F,
2016,May,1.1.01.1.1.02.X,rice_other sources,131.0,F,
2016,June,1.1.01.1.1.02.X,rice_other sources,132.5,F,
2016,July,1.1.01.1.1.02.X,rice_other sources,133.2,F,
2016,August,1.1.01.1.1.02.X,rice_other sources,134.1,F,
2016,September,1.1.01.1.1.02.X,rice_other sources,134.8,F,
2016,October,1.1.01.1.1.02.X,rice_other sources,135.2,F,
2016,November,1.1.01.1.1.02.X,rice_other sources,135.1,F,
2016,December,1.1.01.1.1.02.X,rice_other sources,134.8,F,
2017,January,1.1.01.1.1.02.X,rice_other sources,135.1,F,
2017,February,1.1.01.1.1.02.X,rice_other sources,135.6,F,
2017,March,1.1.01.1.1.02.X,rice_other sources,136.2,F,
2017,April,1.1.01.1.1.02.X,rice_other sources,137.2,F,
2017,May,1.1.01.1.1.02.X,rice_other sources,137.6,F,
2017,June,1.1.01.1.1.02.X,rice_other sources,138.4,F,
2017,July,1.1.01.1.1.02.X,rice_other sources,139.1,F,
2017,August,1.1.01.1.1.02.X,rice_other sources,139.7,F,
2017,September,1.1.01.1.1.02.X,rice_other sources,140.4,F,
2017,October,1.1.01.1.1.02.X,rice_other sources,141.3,F,
2017,November,1.1.01.1.1.02.X,rice_other sources,141.9,F,
2017,December,1.1.01.1.1.02.X,rice_other sources,142.0,F,
2018,January,1.1.01.1.1.02.X,rice_other sources,141.9,F,
2018,February,1.1.01.1.1.02.X,rice_other sources,142.1,F,
2018,March,1.1.01.1.1.02.X,rice_other sources,142.5,F,
2018,April,1.1.01.1.1.02.X,rice_other sources,143.2,F,
2018,May,1.1.01.1.1.02.X,rice_other sources,143.6,F,
2018,June,1.1.01.1.1.02.X,rice_other sources,143.8,F,
2018,July,1.1.01.1.1.02.X,rice_other sources,144.5,F,
2018,August,1.1.01.1.1.02.X,rice_other sources,145.0,F,
2018,September,1.1.01.1.1.02.X,rice_other sources,144.3,F,
2018,October,1.1.01.1.1.02.X,rice_other sources,142.6,F,
2018,November,1.1.01.1.1.02.X,rice_other sources,139.8,F,
2018,December,1.1.01.1.1.02.X,rice_other sources,139.7,F,
2019,January,1.1.01.1.1.02.X,rice_other sources,138.9,F,
2019,February,1.1.01.1.1.02.X,rice_other sources,139.4,F,
2019,March,1.1.01.1.1.02.X,rice_other sources,139.7,F,
